miRNA	cellontology	sign	pvalue
hsa-miR-27b-3p	leukocyte	depleted	9.882e-22
hsa-miR-27b-3p	hematopoietic cell	depleted	1.36736e-15
hsa-miR-27b-3p	myeloid leukocyte	depleted	1.61801e-12
hsa-miR-28-3p	pluripotent stem cell	enriched	9.70116e-12
hsa-miR-28-3p	leukocyte	enriched	6.39738e-11
hsa-miR-28-3p	lymphocyte	enriched	3.25945e-10
hsa-miR-28-3p	mesodermal cell	depleted	8.19542e-08
hsa-miR-28-3p	fat cell	depleted	1.59167e-07
hsa-miR-28-3p	endothelial cell of vascular tree	depleted	8.15416e-07
hsa-miR-29a-3p	muscle cell	enriched	5.89768e-08
hsa-miR-29a-3p	alpha-beta T cell	enriched	5.50461e-07
hsa-miR-29a-3p	smooth muscle cell	enriched	3.06585e-06
hsa-miR-29a-3p	pluripotent stem cell	depleted	1.49534e-17
hsa-miR-29a-3p	embryonic stem cell	depleted	3.82317e-10
hsa-miR-29a-3p	iPS	depleted	4.16617e-10
hsa-miR-29b-3p	mononuclear cell	enriched	0.000226581
hsa-miR-29b-3p	lymphocyte	enriched	0.000271271
hsa-miR-29b-3p	pluripotent stem cell	depleted	3.61107e-09
hsa-miR-29b-3p	lining cell	depleted	7.48868e-08
hsa-miR-29b-3p	endothelial cell	depleted	4.83074e-06
hsa-miR-29c-3p	leukocyte	enriched	8.02399e-60
hsa-miR-29c-3p	hematopoietic cell	enriched	1.75282e-57
hsa-miR-29c-3p	lymphocyte	enriched	4.84385e-28
hsa-miR-29c-3p	epithelial cell	depleted	1.61039e-20
hsa-miR-29c-3p	muscle cell	depleted	2.8629e-14
hsa-miR-29c-3p	fibroblast	depleted	1.15003e-12
hsa-miR-30a-5p	epithelial cell	enriched	4.79771e-16
hsa-miR-30a-5p	endothelial cell of vascular tree	enriched	9.4876e-12
hsa-miR-30a-5p	endothelial cell	enriched	1.19103e-11
hsa-miR-30a-5p	leukocyte	depleted	2.7671e-50
hsa-miR-30a-5p	hematopoietic cell	depleted	4.11799e-44
hsa-miR-30a-5p	myeloid leukocyte	depleted	1.01833e-21
hsa-miR-30b-5p	leukocyte	enriched	6.06489e-16
hsa-miR-30b-5p	hematopoietic cell	enriched	7.4587e-15
hsa-miR-30b-5p	alpha-beta T cell	enriched	5.11909e-07
hsa-miR-30b-5p	fibroblast	depleted	7.97481e-14
hsa-miR-30b-5p	muscle cell	depleted	2.21663e-09
hsa-miR-30b-5p	endothelial cell	depleted	1.44863e-08
hsa-miR-30c-5p	nephron tubule epithelial cell	enriched	6.37068e-13
hsa-miR-30c-5p	epithelial cell	enriched	4.56319e-11
hsa-miR-30c-5p	kidney epithelial cell	enriched	1.0431e-10
hsa-miR-30c-5p	mesodermal cell	depleted	1.4666e-08
hsa-miR-30c-5p	fibroblast	depleted	4.44092e-07
hsa-miR-30c-5p	preadipocyte	depleted	1.31539e-06
hsa-miR-30d-5p	epithelial cell	enriched	1.96646e-16
hsa-miR-30d-5p	leukocyte	enriched	1.6454e-11
hsa-miR-30d-5p	endo-epithelial cell	enriched	1.70457e-10
hsa-miR-30d-5p	muscle cell	depleted	7.39322e-08
hsa-miR-30d-5p	preadipocyte	depleted	1.77089e-07
hsa-miR-30d-5p	fibroblast	depleted	2.65899e-06
hsa-miR-30e-5p	leukocyte	enriched	3.87821e-18
hsa-miR-30e-5p	hematopoietic cell	enriched	7.43697e-17
hsa-miR-30e-5p	epithelial cell	enriched	9.2022e-10
hsa-miR-30e-5p	chondrocyte	depleted	1.41512e-05
hsa-miR-30e-5p	GAG secreting cell	depleted	2.0764e-05
hsa-miR-30e-5p	fibroblast	depleted	0.000111562
hsa-miR-31-5p	muscle cell	enriched	6.04116e-11
hsa-miR-31-5p	endo-epithelial cell	enriched	5.41686e-09
hsa-miR-31-5p	general ecto-epithelial cell	enriched	2.2213e-08
hsa-miR-31-5p	leukocyte	depleted	1.38994e-33
hsa-miR-31-5p	hematopoietic cell	depleted	4.97363e-32
hsa-miR-31-5p	myeloid leukocyte	depleted	1.24561e-25
hsa-miR-32-5p	leukocyte	enriched	6.19408e-46
hsa-miR-32-5p	hematopoietic cell	enriched	1.97212e-44
hsa-miR-32-5p	lymphocyte	enriched	2.3175e-24
hsa-miR-32-5p	fibroblast	depleted	6.7516e-12
hsa-miR-32-5p	epithelial cell	depleted	1.09048e-11
hsa-miR-32-5p	lining cell	depleted	1.20477e-09
hsa-miR-33a-5p	ectodermal cell	enriched	3.87559e-07
hsa-miR-33a-5p	neuronal stem cell	enriched	1.00564e-06
hsa-miR-33a-5p	epithelial cell	enriched	8.66709e-06
hsa-miR-33a-5p	mesodermal cell	depleted	6.11974e-08
hsa-miR-33a-5p	pluripotent stem cell	depleted	1.09429e-06
hsa-miR-33a-5p	embryonic stem cell	depleted	8.19975e-05
hsa-miR-33b-5p	endo-epithelial cell	enriched	8.28166e-10
hsa-miR-33b-5p	endodermal cell	enriched	1.14794e-09
hsa-miR-33b-5p	epithelial cell	enriched	2.38495e-07
hsa-miR-33b-5p	pluripotent stem cell	depleted	3.90974e-06
hsa-miR-33b-5p	GAG secreting cell	depleted	0.00014746
hsa-miR-34a-5p	squamous epithelial cell	enriched	1.36109e-08
hsa-miR-34a-5p	endothelial cell	enriched	1.22267e-07
hsa-miR-34a-5p	aortic endothelial cell	enriched	3.28931e-07
hsa-miR-34a-5p	hematopoietic cell	depleted	6.78764e-19
hsa-miR-34a-5p	leukocyte	depleted	3.35657e-18
hsa-miR-34a-5p	lymphocyte	depleted	3.134e-12
hsa-miR-34b-5p	epithelial cell	enriched	1.94669e-08
hsa-miR-34b-5p	ectodermal cell	enriched	1.20818e-07
hsa-miR-34b-5p	ecto-epithelial cell	enriched	2.37283e-06
hsa-miR-34b-5p	hematopoietic cell	depleted	5.27088e-20
hsa-miR-34b-5p	leukocyte	depleted	1.17366e-19
hsa-miR-34b-5p	endothelial cell of vascular tree	depleted	7.13627e-12
hsa-miR-34c-5p	ectodermal cell	enriched	1.68605e-07
hsa-miR-34c-5p	general ecto-epithelial cell	enriched	2.15094e-07
hsa-miR-34c-5p	epithelial cell	enriched	3.79229e-07
hsa-miR-34c-5p	leukocyte	depleted	4.81883e-24
hsa-miR-34c-5p	hematopoietic cell	depleted	5.10156e-24
hsa-miR-34c-5p	myeloid leukocyte	depleted	2.00005e-12
hsa-miR-92a-3p	pluripotent stem cell	enriched	1.13219e-11
hsa-miR-92a-3p	B cell	enriched	1.52543e-08
hsa-miR-92a-3p	epithelial cell	enriched	2.3343e-08
hsa-miR-92a-3p	mesodermal cell	depleted	3.18843e-11
hsa-miR-92a-3p	GAG secreting cell	depleted	1.18321e-07
hsa-miR-92a-3p	adipocyte of omentum tissue	depleted	4.95879e-07
hsa-miR-92b-3p	pluripotent stem cell	enriched	6.0442e-21
hsa-miR-92b-3p	embryonic stem cell	enriched	3.25424e-11
hsa-miR-92b-3p	neural cell	enriched	2.28779e-10
hsa-miR-92b-3p	leukocyte	depleted	1.64416e-29
hsa-miR-92b-3p	hematopoietic cell	depleted	5.01132e-28
hsa-miR-92b-3p	myeloid leukocyte	depleted	7.69036e-22
hsa-miR-93-5p	pluripotent stem cell	enriched	2.31068e-11
hsa-miR-93-5p	epithelial cell	enriched	6.69884e-11
hsa-miR-93-5p	endothelial cell	enriched	5.49985e-10
hsa-miR-93-5p	chondrocyte	depleted	7.34437e-08
hsa-miR-93-5p	GAG secreting cell	depleted	4.4782e-07
hsa-miR-93-5p	vascular associated smooth muscle cell	depleted	2.32711e-06
hsa-miR-95-3p	lymphocyte	enriched	9.2366e-13
hsa-miR-95-3p	alpha-beta T cell	enriched	4.71894e-09
hsa-miR-95-3p	leukocyte	enriched	2.37608e-08
hsa-miR-95-3p	muscle cell	depleted	3.34199e-05
hsa-miR-95-3p	smooth muscle cell	depleted	8.05645e-05
hsa-miR-96-5p	epithelial cell	enriched	5.45744e-18
hsa-miR-96-5p	endo-epithelial cell	enriched	2.79516e-17
hsa-miR-96-5p	endodermal cell	enriched	1.26481e-10
hsa-miR-96-5p	hematopoietic cell	depleted	3.43689e-11
hsa-miR-96-5p	leukocyte	depleted	4.09605e-10
hsa-miR-96-5p	fibroblast	depleted	4.62269e-08
hsa-miR-98-5p	epithelial cell	enriched	3.27007e-12
hsa-miR-98-5p	epithelial cell of amnion	enriched	5.03271e-08
hsa-miR-98-5p	endothelial cell of vascular tree	enriched	1.61577e-07
hsa-miR-98-5p	pluripotent stem cell	depleted	1.2695e-07
hsa-miR-98-5p	vascular associated smooth muscle cell	depleted	3.31588e-06
hsa-miR-98-5p	Hepatocyte	depleted	3.62853e-06
hsa-miR-99a-5p	mast cell	enriched	4.41696e-17
hsa-miR-99a-5p	leukocyte	enriched	4.32317e-13
hsa-miR-99a-5p	myeloid leukocyte	enriched	9.97454e-13
hsa-miR-99a-5p	fibroblast	depleted	4.50756e-11
hsa-miR-99a-5p	nephron tubule epithelial cell	depleted	4.92715e-07
hsa-miR-99a-5p	lymphocyte	depleted	2.97951e-06
hsa-miR-99b-5p	endothelial cell	enriched	8.74806e-05
hsa-miR-99b-5p	meso-epithelial cell	enriched	0.000115276
hsa-miR-99b-5p	placental epithelial cell	enriched	0.000192606
hsa-miR-99b-5p	leukocyte	depleted	1.12294e-20
hsa-miR-99b-5p	hematopoietic cell	depleted	4.61806e-20
hsa-miR-99b-5p	lymphocyte	depleted	2.65666e-16
hsa-miR-100-5p	muscle cell	enriched	6.56765e-15
hsa-miR-100-5p	smooth muscle cell	enriched	1.22534e-10
hsa-miR-100-5p	vascular associated smooth muscle cell	enriched	3.83387e-10
hsa-miR-100-5p	leukocyte	depleted	1.82418e-56
hsa-miR-100-5p	hematopoietic cell	depleted	2.61462e-38
hsa-miR-100-5p	myeloid leukocyte	depleted	4.445e-24
hsa-miR-101-3p	leukocyte	enriched	1.7227e-50
hsa-miR-101-3p	hematopoietic cell	enriched	7.48863e-49
hsa-miR-101-3p	lymphocyte	enriched	5.13728e-24
hsa-miR-101-3p	epithelial cell	depleted	2.26017e-16
hsa-miR-101-3p	muscle cell	depleted	4.12289e-15
hsa-miR-101-3p	mesodermal cell	depleted	9.21624e-13
hsa-miR-103a-3p	monocyte	enriched	6.28001e-22
hsa-miR-103a-3p	myeloid leukocyte	enriched	1.34812e-21
hsa-miR-103a-3p	phagocyte	enriched	7.21123e-20
hsa-miR-103a-3p	muscle cell	depleted	1.07528e-08
hsa-miR-103a-3p	vascular associated smooth muscle cell	depleted	2.18946e-07
hsa-miR-103a-3p	fibroblast	depleted	5.51433e-07
hsa-miR-105-5p	pluripotent stem cell	enriched	3.71693e-09
hsa-miR-105-5p	neural cell	enriched	3.72535e-08
hsa-miR-105-5p	embryonic stem cell	enriched	1.95314e-06
hsa-miR-106a-5p	pluripotent stem cell	enriched	9.83306e-24
hsa-miR-106a-5p	embryonic stem cell	enriched	1.1892e-15
hsa-miR-106a-5p	stem cell	enriched	3.52498e-09
hsa-miR-106a-5p	fibroblast	depleted	2.99288e-12
hsa-miR-106a-5p	mesodermal cell	depleted	1.83614e-11
hsa-miR-106a-5p	leukocyte	depleted	3.70602e-11
hsa-miR-106b-3p	lymphocyte	enriched	9.83803e-13
hsa-miR-106b-3p	pluripotent stem cell	enriched	2.53839e-10
hsa-miR-106b-3p	leukocyte	enriched	6.74624e-09
hsa-miR-106b-3p	mesodermal cell	depleted	2.75243e-11
hsa-miR-106b-3p	epithelial cell	depleted	1.60401e-07
hsa-miR-106b-3p	fat cell	depleted	2.44329e-06
hsa-miR-107	neuronal stem cell	enriched	9.07413e-07
hsa-miR-107	neurectodermal cell	enriched	1.49855e-06
hsa-miR-107	ciliated epithelial cell	enriched	4.5765e-06
hsa-miR-107	hematopoietic cell	depleted	1.87773e-20
hsa-miR-107	leukocyte	depleted	2.31788e-19
hsa-miR-107	lymphocyte	depleted	9.22465e-13
hsa-miR-122-5p	Hepatocyte	enriched	5.65695e-26
hsa-miR-122-5p	endodermal cell	enriched	2.41516e-25
hsa-miR-122-5p	epithelial cell	enriched	6.38148e-17
hsa-miR-122-5p	mesodermal cell	depleted	4.44932e-15
hsa-miR-122-5p	meso-epithelial cell	depleted	1.54138e-10
hsa-miR-122-5p	squamous epithelial cell	depleted	1.25504e-09
hsa-miR-124-3p	neuronal stem cell	enriched	5.44573e-12
hsa-miR-124-3p	neural cell	enriched	1.62072e-10
hsa-miR-124-3p	stem cell	enriched	6.83695e-09
hsa-miR-124-3p	astrocyte	depleted	9.95847e-07
hsa-miR-124-3p	leukocyte	depleted	3.40319e-06
hsa-miR-124-3p	epithelial cell	depleted	3.94203e-06
hsa-miR-125a-5p	leukocyte	enriched	2.07624e-24
hsa-miR-125a-5p	hematopoietic cell	enriched	1.05146e-23
hsa-miR-125a-5p	mast cell	enriched	6.8184e-15
hsa-miR-125a-5p	muscle cell	depleted	8.22171e-12
hsa-miR-125a-5p	B cell	depleted	5.73219e-11
hsa-miR-125a-5p	meso-epithelial cell	depleted	2.04379e-10
hsa-miR-125b-5p	muscle cell	enriched	1.02147e-17
hsa-miR-125b-5p	fibroblast	enriched	1.7538e-14
hsa-miR-125b-5p	smooth muscle cell	enriched	2.3692e-12
hsa-miR-125b-5p	leukocyte	depleted	2.1625e-33
hsa-miR-125b-5p	hematopoietic cell	depleted	2.47282e-31
hsa-miR-125b-5p	lymphocyte	depleted	2.1327e-19
hsa-miR-126-5p	endothelial cell	enriched	3.26705e-88
hsa-miR-126-5p	lining cell	enriched	9.08154e-78
hsa-miR-126-5p	meso-epithelial cell	enriched	2.82528e-76
hsa-miR-126-5p	ectodermal cell	depleted	1.36019e-18
hsa-miR-126-5p	muscle cell	depleted	1.2499e-16
hsa-miR-126-5p	ecto-epithelial cell	depleted	1.24219e-13
hsa-miR-127-3p	fibroblast	enriched	8.21175e-17
hsa-miR-127-3p	muscle cell	enriched	3.64715e-14
hsa-miR-127-3p	smooth muscle cell	enriched	1.00211e-09
hsa-miR-127-3p	leukocyte	depleted	1.94419e-38
hsa-miR-127-3p	hematopoietic cell	depleted	2.52368e-35
hsa-miR-127-3p	lymphocyte	depleted	4.21519e-25
hsa-miR-128-3p	neuronal stem cell	enriched	1.8559e-46
hsa-miR-128-3p	neural cell	enriched	9.45325e-41
hsa-miR-128-3p	neurectodermal cell	enriched	1.25902e-37
hsa-miR-128-3p	mesodermal cell	depleted	3.01884e-14
hsa-miR-128-3p	epithelial cell	depleted	5.4226e-11
hsa-miR-128-3p	hematopoietic cell	depleted	9.04432e-08
hsa-miR-129-5p	pluripotent stem cell	enriched	2.64655e-10
hsa-miR-129-5p	iPS	enriched	2.68948e-07
hsa-miR-129-5p	neural cell	enriched	1.41119e-05
hsa-miR-129-5p	hematopoietic cell	depleted	1.2517e-07
hsa-miR-129-5p	leukocyte	depleted	3.42486e-07
hsa-miR-129-5p	meso-epithelial cell	depleted	7.69402e-06
hsa-miR-129-2-3p	neurectodermal cell	enriched	2.52895e-06
hsa-miR-129-2-3p	pluripotent stem cell	enriched	1.32562e-05
hsa-miR-129-2-3p	ectodermal cell	enriched	0.000113698
hsa-miR-129-2-3p	hematopoietic cell	depleted	4.50905e-14
hsa-miR-129-2-3p	leukocyte	depleted	1.19327e-13
