name	sample	description
10165	FF:10165-103B3	locus coeruleus, adult, donor10252
10166	FF:10166-103B4	cerebellum, adult, donor10252
10167	FF:10167-103B5	amygdala - adult, donor10196
10168	FF:10168-103B6	thalamus - adult, donor10196
10169	FF:10169-103B7	hippocampus - adult, donor10196
10170	FF:10170-103B8	medial frontal gyrus - adult, donor10196
10171	FF:10171-103B9	parietal lobe - adult, donor10196
10172	FF:10172-103C1	occipital cortex - adult, donor10196
10173	FF:10173-103C2	cerebellum - adult, donor10196
10174	FF:10174-103C3	medulla oblongata - adult, donor10196
10175	FF:10175-103C4	globus pallidus - adult, donor10196
10176	FF:10176-103C5	putamen, adult, donor10196
10177	FF:10177-103C6	caudate nucleus - adult, donor10196
10178	FF:10178-103C7	substantia nigra - adult, donor10196
10179	FF:10179-103C8	pineal gland - adult, donor10196
10180	FF:10180-103C9	pituitary gland - adult, donor10196
10181	FF:10181-103D1	spinal cord - adult, donor10196
10182	FF:10182-103D2	locus coeruleus - adult, donor10196
10183	FF:10183-103D3	medial temporal gyrus - adult, donor10196
10184	FF:10184-103D4	adipose, donor1
10185	FF:10185-103D5	adipose, donor2
10186	FF:10186-103D6	adipose, donor3
10187	FF:10187-103D7	adipose, donor4
10188	FF:10188-103D8	cerebral meninges, adult
10189	FF:10189-103D9	appendix, adult
10190	FF:10190-103E1	artery, adult
10191	FF:10191-103E2	vein, adult
10192	FF:10192-103E3	bone marrow, adult
10193	FF:10193-103E4	diencephalon, adult
10195	FF:10195-103E6	olfactory region, adult
10196	FF:10196-103E7	ductus deferens, adult
10197	FF:10197-103E8	epididymis, adult
10198	FF:10198-103E9	gall bladder, adult
10199	FF:10199-103F1	parotid gland, adult
10200	FF:10200-103F2	penis, adult
10201	FF:10201-103F3	seminal vesicle, adult
10202	FF:10202-103F4	submaxillary gland, adult
10203	FF:10203-103F5	tongue, adult
10204	FF:10204-103F6	vagina, adult
10205	FF:10205-103F7	heart - mitral valve, adult
10206	FF:10206-103F8	heart - pulmonic valve, adult
10207	FF:10207-103F9	heart - tricuspid valve, adult
10209	FF:10209-103G2	throat, adult
10268	FF:10268-104D7	eye - vitreous humor, donor1
10272	FF:10272-104E2	eye - muscle inferior rectus, donor1
10277	FF:10277-104E7	optic nerve, donor1
10282	FF:10282-104F3	skeletal muscle - soleus muscle, donor1
10286	FF:10286-104F7	Skin - palm, donor1
10288	FF:10288-104F9	tongue epidermis (fungiform papillae), donor1
10292	FF:10292-104G4	achilles tendon, donor2
10294	FF:10294-104G6	cerebrospinal fluid, donor2
10295	FF:10295-104G7	cruciate ligament, donor2
10297	FF:10297-104G9	eye - muscle superior, donor2
10298	FF:10298-104H1	eye - muscle lateral, donor2
10299	FF:10299-104H2	eye - muscle medial, donor2
10301	FF:10301-104H4	Fingernail (including nail plate, eponychium and hyponychium), donor2
10319	FF:10319-105A4	Urethra, donor2
10352	FF:10352-105E1	medial frontal gyrus, newborn, donor10223
10353	FF:10353-105E2	medial temporal gyrus, newborn, donor10223
10354	FF:10354-105E3	caudate nucleus, newborn, donor10223
10355	FF:10355-105E4	occipital cortex, newborn, donor10223
10356	FF:10356-105E5	parietal lobe, newborn, donor10223
10357	FF:10357-105E6	cerebellum, newborn, donor10223
10358	FF:10358-105E7	substantia nigra, newborn, donor10223
10359	FF:10359-105E8	spinal cord, newborn, donor10223
10360	FF:10360-105E9	amygdala, newborn, donor10223
10361	FF:10361-105F1	medulla oblongata, newborn, donor10223
10362	FF:10362-105F2	locus coeruleus, newborn, donor10223
10363	FF:10363-105F3	hippocampus, newborn, donor10223
10364	FF:10364-105F4	globus pallidus, newborn, donor10223
10365	FF:10365-105F5	putamen, newborn, donor10223
10366	FF:10366-105F6	thalamus, newborn, donor10223
10367	FF:10367-105F7	globus pallidus, adult, donor10258
10368	FF:10368-105F8	medial frontal gyrus, adult, donor10258
10369	FF:10369-105F9	spinal cord, adult, donor10258
10370	FF:10370-105G1	thalamus, adult, donor10258
10371	FF:10371-105G2	substantia nigra, adult, donor10258
10372	FF:10372-105G3	putamen, adult, donor10258
10373	FF:10373-105G4	parietal cortex, adult, donor10258
10374	FF:10374-105G5	hippocampus, adult, donor10258
10375	FF:10375-105G6	locus coeruleus, adult, donor10258
10376	FF:10376-105G7	medial temporal gyrus, adult, donor10258
10377	FF:10377-105G8	pineal gland, adult, donor10258
10378	FF:10378-105G9	pituitary gland, adult, donor10258
10379	FF:10379-105H1	caudate nucleus, adult, donor10258
10399	FF:10399-106A3	acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh)
10400	FF:10400-106A4	acute myeloid leukemia (FAB M5) cell line:THP-1 (revived)
10405	FF:10405-106A9	acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed)
10408	FF:10408-106B3	lung adenocarcinoma cell line:PC-14
10409	FF:10409-106B4	chronic myelogenous leukemia cell line:KU812
10410	FF:10410-106B5	extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS
10411	FF:10411-106B6	renal cell carcinoma cell line:OS-RC-2
10412	FF:10412-106B7	malignant trichilemmal cyst cell line:DJM-1
10413	FF:10413-106B8	glioma cell line:GI-1
10414	FF:10414-106B9	maxillary sinus tumor cell line:HSQ-89
10415	FF:10415-106C1	gall bladder carcinoma cell line:TGBC2TKB
10416	FF:10416-106C2	chronic lymphocytic leukemia (T-CLL) cell line:SKW-3
10417	FF:10417-106C3	papillotubular adenocarcinoma cell line:TGBC18TKB
10418	FF:10418-106C4	transitional-cell carcinoma cell line:5637
10419	FF:10419-106C5	breast carcinoma cell line:MDA-MB-453
10420	FF:10420-106C6	colon carcinoma cell line:COLO-320
10421	FF:10421-106C7	adult T-cell leukemia cell line:ATN-1
10422	FF:10422-106C8	Burkitt's lymphoma cell line:DAUDI
10423	FF:10423-106C9	choriocarcinoma cell line:BeWo
10424	FF:10424-106D1	splenic lymphoma with villous lymphocytes cell line:SLVL
10425	FF:10425-106D2	astrocytoma cell line:TM-31
10426	FF:10426-106D3	epidermoid carcinoma cell line:A431
10427	FF:10427-106D4	b cell line:RPMI1788
10428	FF:10428-106D5	anaplastic carcinoma cell line:8305C
10429	FF:10429-106D6	acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL
10430	FF:10430-106D7	non T non B acute lymphoblastic leukemia (ALL) cell line:P30/OHK
10431	FF:10431-106D8	epidermoid carcinoma cell line:Ca Ski
10432	FF:10432-106D9	bile duct carcinoma cell line:HuCCT1
10433	FF:10433-106E1	giant cell carcinoma cell line:Lu99B
10434	FF:10434-106E2	oral squamous cell carcinoma cell line:Ca9-22
10435	FF:10435-106E3	Hodgkin's lymphoma cell line:HD-Mar2
10436	FF:10436-106E4	signet ring carcinoma cell line:Kato III
10437	FF:10437-106E5	papillary adenocarcinoma cell line:8505C
10438	FF:10438-106E6	ductal cell carcinoma cell line:KLM-1
10439	FF:10439-106E7	prostate cancer cell line:PC-3
10441	FF:10441-106E9	synovial sarcoma cell line:HS-SY-II
10442	FF:10442-106F1	schwannoma cell line:HS-PSS
10443	FF:10443-106F2	epithelioid sarcoma cell line:HS-ES-1
10444	FF:10444-106F3	glioblastoma cell line:A172
10448	FF:10448-106F7	endometrial stromal sarcoma cell line:OMC-9
10449	FF:10449-106F8	cord blood derived cell line:COBL-a untreated
10450	FF:10450-106F9	embryonic kidney cell line: HEK293/SLAM untreated
10451	FF:10451-106G1	embryonic kidney cell line: HEK293/SLAM infection, 24hr
10452	FF:10452-106G2	cord blood derived cell line:COBL-a 24h infection(-C)
10453	FF:10453-106G3	cord blood derived cell line:COBL-a 24h infection
10454	FF:10454-106G4	chronic myelogenous leukemia cell line:K562
10455	FF:10455-106G5	acute lymphoblastic leukemia (B-ALL) cell line:BALL-1
10457	FF:10457-106G7	squamous cell lung carcinoma cell line:LC-1F
10463	FF:10463-106H4	squamous cell carcinoma cell line:EC-GI-10
10464	FF:10464-106H5	acute lymphoblastic leukemia (T-ALL) cell line:Jurkat
10465	FF:10465-106H6	melanoma cell line:G-361
10469	FF:10469-106I1	rectal cancer cell line:TT1TKB
10470	FF:10470-106I2	gall bladder carcinoma cell line:TGBC14TKB
10471	FF:10471-106I3	renal cell carcinoma cell line:TUHR10TKB
10474	FF:10474-106I6	myeloma cell line:PCM6
10475	FF:10475-106I7	retinoblastoma cell line:Y79
10476	FF:10476-106I8	Burkitt's lymphoma cell line:RAJI
10477	FF:10477-106I9	rhabdomyosarcoma cell line:RMS-YM
10482	FF:10482-107A5	breast carcinoma cell line:MCF7
10483	FF:10483-107A6	signet ring carcinoma cell line:NUGC-4
10484	FF:10484-107A7	hepatoma cell line:Li-7
10485	FF:10485-107A8	glioblastoma cell line:T98G
10486	FF:10486-107A9	squamous cell lung carcinoma cell line:EBC-1
10487	FF:10487-107B1	giant cell carcinoma cell line:LU65
10488	FF:10488-107B2	ductal cell carcinoma cell line:MIA Paca2
10490	FF:10490-107B4	prostate cancer cell line:DU145
10492	FF:10492-107B6	transitional-cell carcinoma cell line:JMSU1
10493	FF:10493-107B7	mesothelioma cell line:ACC-MESO-1
10494	FF:10494-107B8	mesothelioma cell line:ACC-MESO-4
10495	FF:10495-107B9	epithelioid sarcoma cell line:HS-ES-2R
10496	FF:10496-107C1	bile duct carcinoma cell line:TFK-1
10497	FF:10497-107C2	endometrial carcinoma cell line:OMC-2
10499	FF:10499-107C4	lung adenocarcinoma cell line:A549
10501	FF:10501-107C6	squamous cell lung carcinoma cell line:RERF-LC-AI
10508	FF:10508-107D4	neuroblastoma cell line:CHP-134
10509	FF:10509-107D5	large cell lung carcinoma cell line:IA-LM
10510	FF:10510-107D6	osteosarcoma cell line:143B/TK^(-)neo^(R)
10513	FF:10513-107D9	colon carcinoma cell line:CACO-2
10514	FF:10514-107E1	melanoma cell line:COLO 679
10534	FF:10534-107G3	acute lymphoblastic leukemia (B-ALL) cell line:NALM-6
10536	FF:10536-107G5	cholangiocellular carcinoma cell line:HuH-28
10539	FF:10539-107G8	neuroblastoma cell line:NB-1
10541	FF:10541-107H1	small cell lung carcinoma cell line:LK-2
10544	FF:10544-107H4	oral squamous cell carcinoma cell line:SAS
10545	FF:10545-107H5	oral squamous cell carcinoma cell line:HSC-3
10549	FF:10549-107H9	gastric cancer cell line:AZ521
10550	FF:10550-107I1	oral squamous cell carcinoma cell line:HO-1-u-1
10552	FF:10552-107I3	cervical cancer cell line:D98-AH2
10553	FF:10553-107I4	cervical cancer cell line:ME-180
10555	FF:10555-107I6	neuroblastoma cell line:NH-12
10558	FF:10558-107I9	osteosarcoma cell line:HS-Os-1
10560	FF:10560-108A2	gastric cancer cell line:GSS
10562	FF:10562-108A4	small cell lung carcinoma cell line:WA-hT
10563	FF:10563-108A5	xeroderma pigentosum b cell line:XPL 17
10568	FF:10568-108B1	mesenchymal stem cell line:Hu5/E18
10569	FF:10569-108B2	leiomyoma cell line:10964C
10570	FF:10570-108B3	leiomyoma cell line:15242A
10571	FF:10571-108B4	leiomyoma cell line:15425
10589	FF:10589-108D4	argyrophil small cell carcinoma cell line:TC-YIK
10590	FF:10590-108D5	testicular germ cell embryonal carcinoma cell line:NEC8
10591	FF:10591-108D6	testicular germ cell embryonal carcinoma cell line:NEC14
10593	FF:10593-108D8	testicular germ cell embryonal carcinoma cell line:NEC15
10597	FF:10597-108E3	Wilms' tumor cell line:HFWT
10600	FF:10600-108E6	myxofibrosarcoma cell line:MFH-ino
10603	FF:10603-108E9	embryonic pancreas cell line:2C6
10604	FF:10604-108F1	embryonic pancreas cell line:1B2C6
10605	FF:10605-108F2	embryonic pancreas cell line:1C3D3
10606	FF:10606-108F3	embryonic pancreas cell line:1C3IKEI
10607	FF:10607-108F4	neuroblastoma cell line:NBsusSR
10609	FF:10609-108F6	small-cell gastrointestinal carcinoma cell line:ECC4
10610	FF:10610-108F7	small cell gastrointestinal carcinoma cell line:ECC10
10612	FF:10612-108F9	gastric adenocarcinoma cell line:MKN45
10614	FF:10614-108G2	gastric adenocarcinoma cell line:MKN1
10615	FF:10615-108G3	gastrointestinal carcinoma cell line:ECC12
10616	FF:10616-108G4	squamous cell carcinoma cell line:T3M-5
10618	FF:10618-108G6	choriocarcinoma cell line:T3M-3
10624	FF:10624-108H3	granulosa cell tumor cell line:KGN
10631	FF:10631-108I1	diffuse large B-cell lymphoma cell line:CTB-1
10633	FF:10633-108I3	hepatoblastoma cell line:HuH-6
10636	FF:10636-108I6	clear cell carcinoma cell line:TEN
10637	FF:10637-108I7	neuroectodermal tumor cell line:FU-RPNT-1
10638	FF:10638-108I8	clear cell carcinoma cell line:JHOC-5
10639	FF:10639-108I9	serous adenocarcinoma cell line:JHOS-2
10642	FF:10642-109A3	carcinosarcoma cell line:JHUCS-1
10643	FF:10643-109A4	endometrioid adenocarcinoma cell line:JHUEM-1
10646	FF:10646-109A7	squamous cell carcinoma cell line:JHUS-nk1
10647	FF:10647-109A8	lens epithelial cell line:SRA 01/04
10648	FF:10648-109A9	mucinous adenocarcinoma cell line:JHOM-1
10663	FF:10663-109C6	neuroectodermal tumor cell line:FU-RPNT-2
10684	FF:10684-109E9	myxofibrosarcoma cell line:NMFH-1
10686	FF:10686-109F2	bone marrow stromal cell line:StromaNKtert
10687	FF:10687-109F3	Krukenberg tumor cell line:HSKTC
10688	FF:10688-109F4	glassy cell carcinoma cell line:HOKUG
10689	FF:10689-109F5	mixed mullerian tumor cell line:HTMMT
10691	FF:10691-109F7	meningioma cell line:HKBMM
10692	FF:10692-109F8	large cell non-keratinizing squamous carcinoma cell line:SKG-II-SF
10693	FF:10693-109F9	serous cystadenocarcinoma cell line:HTOA
10694	FF:10694-109G1	tridermal teratoma cell line:HGRT
10695	FF:10695-109G2	sacrococcigeal teratoma cell line:HTST
10696	FF:10696-109G3	mesodermal tumor cell line:HIRS-BM
10697	FF:10697-109G4	peripheral neuroectodermal tumor cell line:KU-SN
10698	FF:10698-109G5	pancreatic carcinoma cell line:NOR-P1
10699	FF:10699-109G6	acute myeloid leukemia (FAB M7) cell line:M-MOK
10700	FF:10700-109G7	chondrosarcoma cell line:SW 1353
10702	FF:10702-109G9	basal cell carcinoma cell line:TE 354.T
10703	FF:10703-109H1	carcinoid cell line:NCI-H1770
10704	FF:10704-109H2	osteoclastoma cell line:Hs 706.T
10705	FF:10705-109H3	Ewing's sarcoma cell line:Hs 863.T
10706	FF:10706-109H4	pleomorphic hepatocellular carcinoma cell line:SNU-387
10707	FF:10707-109H5	transitional cell carcinoma cell line:Hs 769.T
10708	FF:10708-109H6	alveolar cell carcinoma cell line:SW 1573
10709	FF:10709-109H7	bronchioalveolar carcinoma cell line:NCI-H358
10710	FF:10710-109H8	bronchogenic carcinoma cell line:ChaGo-K-1
10711	FF:10711-109H9	fibrous histiocytoma cell line:GCT TIB-223
10712	FF:10712-109I1	hairy cell leukemia cell line:Mo
10715	FF:10715-109I4	bronchioalveolar carcinoma cell line:NCI-H650
10717	FF:10717-109I6	acantholytic squamous carcinoma cell line:HCC1806
10718	FF:10718-109I7	biphenotypic B myelomonocytic leukemia cell line:MV-4-11
10719	FF:10719-109I8	carcinoid cell line:SK-PN-DW
10721	FF:10721-110A1	leiomyoblastoma cell line:G-402
10722	FF:10722-110A2	leiomyosarcoma cell line:Hs 5.T
10723	FF:10723-110A3	pharyngeal carcinoma cell line:Detroit 562
10726	FF:10726-110A6	liposarcoma cell line:SW 872
10727	FF:10727-110A7	lymphangiectasia cell line:DS-1
10728	FF:10728-110A8	neuroepithelioma cell line:SK-N-MC
10729	FF:10729-110A9	neurofibroma cell line:Hs 53.T
10730	FF:10730-110B1	non-small cell lung cancer cell line:NCI-H1385
10732	FF:10732-110B3	pagetoid sarcoma cell line:Hs 925.T
10735	FF:10735-110B6	carcinoid cell line:NCI-H727
10737	FF:10737-110B8	spindle cell sarcoma cell line:Hs 132.T
10742	FF:10742-110C4	lung adenocarcinoma, papillary cell line:NCI-H441
10744	FF:10744-110C6	mycosis fungoides, T cell lymphoma cell line:HuT 102 TIB-162
10752	FF:10752-110D5	leukemia, chronic megakaryoblastic cell line:MEG-01
10758	FF:10758-110E2	fibrosarcoma cell line:HT-1080
10759	FF:10759-110E3	medulloblastoma cell line:ONS-76
10760	FF:10760-110E4	bronchial squamous cell carcinoma cell line:KNS-62
10764	FF:10764-110E8	acute myeloid leukemia (FAB M5) cell line:NOMO-1
10765	FF:10765-110E9	acute myeloid leukemia (FAB M2) cell line:NKM-1
10766	FF:10766-110F1	chronic myelogenous leukemia (CML) cell line:MEG-A2
10770	FF:10770-110F5	acute myeloid leukemia (FAB M5) cell line:P31/FUJ
10772	FF:10772-110F7	myelodysplastic syndrome cell line:SKM-1
10774	FF:10774-110F9	neuroectodermal tumor cell line:TASK1
10775	FF:10775-110G1	lymphoma, malignant, hairy B-cell cell line:MLMA
10776	FF:10776-110G2	thyroid carcinoma cell line:KHM-5M
10777	FF:10777-110G3	NK T cell leukemia cell line:KHYG-1
10778	FF:10778-110G4	hepatic mesenchymal tumor cell line:LI90
10781	FF:10781-110G7	somatostatinoma cell line:QGP-1
10782	FF:10782-110G8	liposarcoma cell line:KMLS-1
10783	FF:10783-110G9	thyroid carcinoma cell line:TCO-1
10784	FF:10784-110H1	mucinous cystadenocarcinoma cell line:MCAS
10785	FF:10785-110H2	choriocarcinoma cell line:SCH
10786	FF:10786-110H3	testicular germ cell embryonal carcinoma cell line:ITO-II
10787	FF:10787-110H4	rhabdomyosarcoma cell line:KYM-1
10788	FF:10788-110H5	acute myeloid leukemia (FAB M2) cell line:Kasumi-1
10789	FF:10789-110H6	acute myeloid leukemia (FAB M0) cell line:Kasumi-3
10790	FF:10790-110H7	teratocarcinoma cell line:NCC-IT-A3
10791	FF:10791-110H8	keratoacanthoma cell line:HKA-1
10792	FF:10792-110H9	acute myeloid leukemia (FAB M2) cell line:Kasumi-6
10795	FF:10795-110I3	anaplastic large cell lymphoma cell line:Ki-JK
10796	FF:10796-110I4	adenocarcinoma cell line:IM95m
10797	FF:10797-110I5	tubular adenocarcinoma cell line:SUIT-2
10798	FF:10798-110I6	teratocarcinoma cell line:NCR-G1
10800	FF:10800-110I8	small cell cervical cancer cell line:HCSC-1
10801	FF:10801-110I9	chronic myeloblastic leukemia (CML) cell line:KCL-22
10802	FF:10802-111A1	acute myeloid leukemia (FAB M7) cell line:MKPL-1
10803	FF:10803-111A2	thymic carcinoma cell line:Ty-82
10805	FF:10805-111A4	anaplastic squamous cell carcinoma cell line:RPMI 2650
10807	FF:10807-111A6	teratocarcinoma cell line:PA-1
10808	FF:10808-111A7	hereditary spherocytic anemia cell line:WIL2-NS
10809	FF:10809-111A8	Wilms' tumor cell line:G-401
10810	FF:10810-111A9	adrenal cortex adenocarcinoma cell line:SW-13
10812	FF:10812-111B2	normal intestinal epithelial cell line:FHs 74 Int
10813	FF:10813-111B3	normal embryonic palatal mesenchymal cell line:HEPM
10815	FF:10815-111B5	epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep1
10816	FF:10816-111B6	epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep2
10817	FF:10817-111B7	epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep3
10818	FF:10818-111B8	hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep1
10819	FF:10819-111B9	hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep2
10820	FF:10820-111C1	hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep3
10821	FF:10821-111C2	B lymphoblastoid cell line: GM12878 ENCODE, biol_rep1
10822	FF:10822-111C3	B lymphoblastoid cell line: GM12878 ENCODE, biol_rep2
10823	FF:10823-111C4	B lymphoblastoid cell line: GM12878 ENCODE, biol_rep3
10824	FF:10824-111C5	chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep1
10825	FF:10825-111C6	chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep2
10826	FF:10826-111C7	chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep3
10827	FF:10827-111C8	acute myeloid leukemia (FAB M0) cell line:KG-1
10828	FF:10828-111C9	acute myeloid leukemia (FAB M1) cell line:HYT-1
10829	FF:10829-111D1	acute myeloid leukemia (FAB M3) cell line:HL60
10830	FF:10830-111D2	acute myeloid leukemia (FAB M4) cell line:FKH-1
10831	FF:10831-111D3	acute myeloid leukemia (FAB M4) cell line:HNT-34
10832	FF:10832-111D4	acute myeloid leukemia (FAB M4eo) cell line:EoL-1
10833	FF:10833-111D5	acute myeloid leukemia (FAB M4eo) cell line:EoL-3
10834	FF:10834-111D6	acute myeloid leukemia (FAB M5) cell line:U-937 DE-4
10835	FF:10835-111D7	acute myeloid leukemia (FAB M6) cell line:EEB
10836	FF:10836-111D8	acute myeloid leukemia (FAB M6) cell line:F-36E
10837	FF:10837-111D9	acute myeloid leukemia (FAB M6) cell line:F-36P
10838	FF:10838-111E1	medulloblastoma cell line:D283 Med
10839	FF:10839-111E2	large cell lung carcinoma cell line:NCI-H460
10840	FF:10840-111E3	plasma cell leukemia cell line:ARH-77
10841	FF:10841-111E4	small cell lung carcinoma cell line:DMS 144
10842	FF:10842-111E5	small cell lung carcinoma cell line:NCI-H82
10843	FF:10843-111E6	merkel cell carcinoma cell line:MKL-1
10844	FF:10844-111E7	merkel cell carcinoma cell line:MS-1
10845	FF:10845-111E8	mesothelioma cell line:NCI-H28
10846	FF:10846-111E9	mesothelioma cell line:NCI-H226
10847	FF:10847-111F1	mesothelioma cell line:NCI-H2052
10848	FF:10848-111F2	mesothelioma cell line:NCI-H2452
10849	FF:10849-111F3	mesothelioma cell line:Mero-14
10850	FF:10850-111F4	mesothelioma cell line:Mero-25
10851	FF:10851-111F5	mesothelioma cell line:Mero-41
10852	FF:10852-111F6	mesothelioma cell line:Mero-48a
10853	FF:10853-111F7	mesothelioma cell line:Mero-82
10854	FF:10854-111F8	mesothelioma cell line:Mero-83
10855	FF:10855-111F9	mesothelioma cell line:Mero-84
10856	FF:10856-111G1	mesothelioma cell line:Mero-95
10857	FF:10857-111G2	mesothelioma cell line:No36
10858	FF:10858-111G3	mesothelioma cell line:ONE58
11207	FF:11207-116A1	Endothelial Cells - Aortic, donor0
11210	FF:11210-116A4	Smooth Muscle Cells - Aortic, donor0
11212	FF:11212-116A6	Smooth Muscle Cells - Umbilical artery, donor0
11214	FF:11214-116A8	Mesenchymal stem cells - umbilical, donor0
11215	FF:11215-116A9	Retinal Pigment Epithelial Cells, donor0
11216	FF:11216-116B1	Urothelial cells, donor0
11217	FF:11217-116B2	Mesenchymal stem cells - adipose, donor0
11218	FF:11218-116B3	Mesenchymal stem cells - hepatic, donor0
11219	FF:11219-116B4	Mesenchymal Stem Cells - Vertebral, donor1
11220	FF:11220-116B5	Sebocyte, donor1
11221	FF:11221-116B6	Gingival epithelial cells, donor1 (GEA11)
11222	FF:11222-116B7	Fibroblast - Gingival, donor4 (GFH2)
11223	FF:11223-116B8	Fibroblast - Periodontal Ligament, donor4 (PL29)
